hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar),
1,2460,0.0390472,0.0128348,0,0,0.000650786666667
1,2520,0.0390604,0.0128387,0,0,0.000651006666667
1,2580,0.0390585,0.0128379,0,0,0.000650975
1,2640,0.0390605,0.0128388,0,0,0.000651008333333
1,2700,0.03906,0.0128384,0,0,0.000651
1,2760,0.0390601,0.0128384,0,0,0.000651001666667
1,2820,0.0390754,0.012844,0,0,0.000651256666667
1,2880,0.0390871,0.0128476,0,0,0.000651451666667
1,2940,0.0391014,0.0128526,0,0,0.00065169
1,3000,0.0391247,0.0128605,0,0,0.000652078333333
1,3060,0.0391132,0.0128555,0,0,0.000651886666667
1,3120,0.0391145,0.0128564,0,0,0.000651908333333
1,3180,0.0391069,0.0128536,0,0,0.000651781666667
1,3240,0.0391163,0.0128572,0,0,0.000651938333333
1,3300,0.0391173,0.0128573,0,0,0.000651955
1,3360,0.0391174,0.0128572,0,0,0.000651956666667
1,3420,0.039117,0.0128568,0,0,0.00065195
1,3480,0.0391286,0.0128614,0,0,0.000652143333333
1,3540,0.0391268,0.0128602,0,0,0.000652113333333
2,0,0.0391277,0.0128608,0,0,0.000652128333333
2,60,0.0391611,0.0128728,0,0,0.000652685
2,120,0.0391629,0.0128724,0,0,0.000652715
2,180,0.0391419,0.0128646,0,0,0.000652365
2,240,0.0391298,0.0128609,0,0,0.000652163333333
2,300,0.0391295,0.0128613,0,0,0.000652158333333
2,360,0.0391296,0.0128612,0,0,0.00065216
2,420,0.0391297,0.0128613,0,0,0.000652161666667
2,480,0.0391297,0.0128613,0,0,0.000652161666667
2,540,0.0391297,0.0128612,0,0,0.000652161666667
2,600,0.0391326,0.0128626,0,0,0.00065221
2,660,0.0391631,0.0128732,0,0,0.000652718333333
2,720,0.0391562,0.0128697,0,0,0.000652603333333
2,780,0.0391552,0.0128696,0,0,0.000652586666667
2,840,0.0391444,0.0128658,0,0,0.000652406666667
2,900,0.039134,0.0128623,0,0,0.000652233333333
2,960,0.0391338,0.0128626,0,0,0.00065223
2,1020,0.0391417,0.0128655,0,0,0.000652361666667
2,1080,0.0391408,0.0128648,0,0,0.000652346666667
2,1140,0.0391416,0.0128653,0,0,0.00065236
2,1200,0.0391415,0.0128653,0,0,0.000652358333333
2,1260,0.0391466,0.012867,0,0,0.000652443333333
2,1320,0.0391363,0.012863,0,0,0.000652271666667
2,1380,0.0391361,0.0128633,0,0,0.000652268333333
2,1440,0.0391297,0.0128612,0,0,0.000652161666667
2,1500,0.0391456,0.0128671,0,0,0.000652426666667
2,1560,0.0826597,0.0271699,0,0,0.001377661666667
2,1620,0.208786,0.0686254,0,0,0.003479766666667
2,1680,0.20869,0.0685892,0,0,0.003478166666667
2,1740,0.208752,0.0686158,0,0,0.0034792
2,1800,0.208747,0.0686111,0,0,0.003479116666667
2,1860,0.378226,0.124316,0,0,0.006303766666667
2,1920,0.378162,0.124292,0,0,0.0063027
2,1980,0.378168,0.124299,0,0,0.0063028
2,2040,0.377953,0.124219,0,0,0.006299216666667
2,2100,0.377948,0.124226,0,0,0.006299133333333
2,2160,0.378052,0.124264,0,0,0.006300866666667
2,2220,0.377955,0.124225,0,0,0.00629925
2,2280,0.377953,0.124228,0,0,0.006299216666667
2,2340,0.377952,0.124227,0,0,0.0062992
2,2400,0.33444,0.10992,0,0,0.005574
2,2460,0.377839,0.12419,0,0,0.006297316666667
2,2520,0.378004,0.124249,0,0,0.006300066666667
2,2580,0.378007,0.124246,0,0,0.006300116666667
2,2640,0.443166,0.145664,0,0,0.0073861
2,2700,0.31724,0.104272,0,0,0.005287333333333
2,2760,0.317172,0.104246,0,0,0.0052862
2,2820,0.317186,0.104254,0,0,0.005286433333333
2,2880,0.27386,0.090018,0,0,0.004564333333333
2,2940,0.273807,0.089994,0,0,0.00456345
2,3000,0.208666,0.0685871,0,0,0.003477766666667
2,3060,0.208653,0.0685797,0,0,0.00347755
2,3120,0.273885,0.0900243,0,0,0.00456475
2,3180,0.104373,0.0343063,0,0,0.00173955
2,3240,0.104373,0.0343059,0,0,0.00173955
2,3300,0.104343,0.0342948,0,0,0.00173905
2,3360,0.039109,0.0128538,0,0,0.000651816666667
2,3420,0.0391087,0.0128544,0,0,0.000651811666667
2,3480,0.0390975,0.0128504,0,0,0.000651625
2,3540,0.13685,0.0449813,0,0,0.002280833333333
3,0,0.136851,0.044981,0,0,0.00228085
3,60,0.136827,0.0449717,0,0,0.00228045
3,120,0.136863,0.0449866,0,0,0.00228105
3,180,0.207443,0.0681826,0,0,0.003457383333333
3,240,0.272519,0.0895693,0,0,0.004541983333333
3,300,0.348468,0.114534,0,0,0.0058078
3,360,0.348435,0.114523,0,0,0.00580725
3,420,0.348416,0.114518,0,0,0.005806933333333
3,480,0.348537,0.114562,0,0,0.00580895
3,540,0.348511,0.114547,0,0,0.005808516666667
3,600,0.413713,0.135982,0,0,0.006895216666667
3,660,0.348496,0.114542,0,0,0.005808266666667
3,720,0.348367,0.114498,0,0,0.005806116666667
3,780,0.348366,0.114502,0,0,0.0058061
3,840,0.348187,0.114437,0,0,0.005803116666667
3,900,0.348275,0.114476,0,0,0.005804583333333
3,960,0.348296,0.11448,0,0,0.005804933333333
3,1020,0.337453,0.110916,0,0,0.005624216666667
3,1080,0.33767,0.110996,0,0,0.005627833333333
3,1140,0.337619,0.11097,0,0,0.005626983333333
3,1200,0.337619,0.11097,0,0,0.005626983333333
3,1260,0.337613,0.110966,0,0,0.005626883333333
3,1320,0.337586,0.110958,0,0,0.005626433333333
3,1380,0.337586,0.11096,0,0,0.005626433333333
3,1440,0.337485,0.110923,0,0,0.00562475
3,1500,0.33768,0.110998,0,0,0.005628
3,1560,0.283473,0.0931759,0,0,0.00472455
3,1620,0.28349,0.0931782,0,0,0.004724833333333
3,1680,0.283491,0.0931787,0,0,0.00472485
3,1740,0.283492,0.0931788,0,0,0.004724866666667
3,1800,0.283492,0.0931797,0,0,0.004724866666667
3,1860,0.283503,0.0931837,0,0,0.00472505
3,1920,0.283559,0.0932023,0,0,0.004725983333333
3,1980,0.283655,0.0932351,0,0,0.004727583333333
3,2040,0.283692,0.0932456,0,0,0.0047282
3,2100,0.283692,0.0932455,0,0,0.0047282
3,2160,0.327232,0.107558,0,0,0.005453866666667
3,2220,0.262038,0.0861285,0,0,0.0043673
3,2280,0.262132,0.0861629,0,0,0.004368866666667
3,2340,0.262154,0.0861677,0,0,0.004369233333333
3,2400,0.262149,0.0861636,0,0,0.00436915
3,2460,0.26216,0.0861689,0,0,0.004369333333333
3,2520,0.262089,0.0861418,0,0,0.00436815
3,2580,0.262021,0.0861198,0,0,0.004367016666667
3,2640,0.327324,0.107591,0,0,0.0054554
3,2700,0.327316,0.107583,0,0,0.005455266666667
3,2760,0.327424,0.107622,0,0,0.005457066666667
3,2820,0.327351,0.107595,0,0,0.00545585
3,2880,0.32739,0.10761,0,0,0.0054565
3,2940,0.256728,0.0843831,0,0,0.0042788
3,3000,0.256727,0.0843826,0,0,0.004278783333333
3,3060,0.256732,0.0843844,0,0,0.004278866666667
3,3120,0.256727,0.0843825,0,0,0.004278783333333
3,3180,0.256716,0.0843782,0,0,0.0042786
3,3240,0.256729,0.0843836,0,0,0.004278816666667
3,3300,0.256735,0.0843848,0,0,0.004278916666667
3,3360,0.256588,0.0843303,0,0,0.004276466666667
3,3420,0.256586,0.0843352,0,0,0.004276433333333
3,3480,0.299942,0.0985816,0,0,0.004999033333333
3,3540,0.469337,0.154263,0,0,0.007822283333333
4,0,0.512749,0.168533,0,0,0.008545816666667
4,60,0.20849,0.0685223,0,0,0.003474833333333
