"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
0.0166666666666667, 3.04516719827611, 1.00204933350279, 3.04516719827611, 3.20579882903313, 0.00266826432967911, 0.00425498993306948, 0.00266826432967911
0.0333333333333333, 3.05279889853164, 1.00681594972353, 3.05279889853164, 3.21453876496982, 0.00269508131554932, 0.00428848447506662, 0.00269508131554932
0.05, 3.23640819494361, 1.06776170739642, 3.23640819494361, 3.40799839613816, 0.00303582089844879, 0.00479346569374587, 0.00303582089844879
0.0666666666666667, 3.65252015695672, 1.20586044754965, 3.65252015695672, 3.84642729242863, 0.0037980724697293, 0.00611274562680966, 0.0037980724697293
0.0833333333333333, 4.08906841058848, 1.35046027236559, 4.08906841058848, 4.3063004323561, 0.00487169090446897, 0.00764554484073696, 0.00487169090446897
0.1, 4.19568925941632, 1.38537176450528, 4.19568925941632, 4.41849106454567, 0.0050968520534177, 0.00796721597761073, 0.0050968520534177
0.116666666666667, 4.37152415607182, 1.44392183964711, 4.37152415607182, 4.60381729938638, 0.00548100981796697, 0.00866128874793654, 0.00548100981796697
0.133333333333333, 4.59707825367424, 1.51886933286274, 4.59707825367424, 4.84149692974347, 0.00620038708948472, 0.00965024213404937, 0.00620038708948472
0.15, 4.76194329059379, 1.5734917122461, 4.76194329059379, 5.01517497913466, 0.00682333349442378, 0.0104340805590737, 0.00682333349442378
0.166666666666667, 7.21081258501577, 2.39118839274269, 7.21081258501577, 7.59694675944285, 0.0323383550626836, 0.0316148993439116, 0.0323383550626836
0.183333333333333, 4.97934188248424, 1.64546460257124, 7.21081258501577, 7.59694675944285, 0.00812883837990902, 0.0116710260994217, 0.0323383550626836
0.2, 5.19054202309279, 1.71603348297504, 7.21081258501577, 7.59694675944285, 0.00896896012158378, 0.0127893595669972, 0.0323383550626836
0.216666666666667, 5.12564305816302, 1.69420497315873, 7.21081258501577, 7.59694675944285, 0.00868835871922196, 0.0124509683498007, 0.0323383550626836
0.233333333333333, 5.26078753466862, 1.73939124470958, 7.21081258501577, 7.59694675944285, 0.00940401218732282, 0.0132487335518728, 0.0323383550626836
0.25, 5.1958984308424, 1.71764691720178, 7.21081258501577, 7.59694675944285, 0.00906072331225424, 0.012861978866913, 0.0323383550626836
0.266666666666667, 5.27817910296491, 1.74514171019668, 7.21081258501577, 7.59694675944285, 0.00943038077348005, 0.013379343077941, 0.0323383550626836
0.283333333333333, 7.53850979027203, 2.50340116865162, 7.53850979027203, 7.94330833275616, 0.0253842781207541, 0.0328763027103299, 0.0323383550626836
0.3, 7.53845157242737, 2.50230226510965, 7.53850979027203, 7.94330833275616, 0.0253945043021793, 0.0328809792474159, 0.0323383550626836
0.316666666666667, 7.46864330672576, 2.47872911684181, 7.53850979027203, 7.94330833275616, 0.0247061951365546, 0.0320649043426376, 0.0323383550626836
0.333333333333333, 5.2299164680982, 1.72758243154378, 7.53850979027203, 7.94330833275616, 0.00893339178321813, 0.0129196148972181, 0.0323383550626836
0.35, 5.22976097840884, 1.72892376532108, 7.53850979027203, 7.94330833275616, 0.00893110116035612, 0.012918959543561, 0.0323383550626836
0.366666666666667, 5.2438299876794, 1.73361632466908, 7.53850979027203, 7.94330833275616, 0.00900083428661528, 0.0130011398839376, 0.0323383550626836
0.383333333333333, 5.50283424295426, 1.82018579334009, 7.53850979027203, 7.94330833275616, 0.00974366620803395, 0.0143437717066257, 0.0323383550626836
0.4, 5.84637017329173, 1.93494204507204, 7.53850979027203, 7.94330833275616, 0.0118486012390635, 0.0168242647538345, 0.0323383550626836
0.416666666666667, 6.16548784148032, 2.04087342231932, 7.53850979027203, 7.94330833275616, 0.0125561039568875, 0.0182712498366382, 0.0323383550626836
0.433333333333333, 6.25623748426369, 2.07097479908007, 7.53850979027203, 7.94330833275616, 0.0132259789145084, 0.0189720115488086, 0.0323383550626836
0.45, 6.18698212140057, 2.04777356480726, 7.53850979027203, 7.94330833275616, 0.0129008985738907, 0.0184914135324952, 0.0323383550626836
0.466666666666667, 6.18697937061481, 2.04781291508498, 7.53850979027203, 7.94330833275616, 0.0129008175600562, 0.0184914010710291, 0.0323383550626836
0.483333333333333, 6.53175057049648, 2.16328435134905, 7.53850979027203, 7.94330833275616, 0.0146577257313069, 0.0208781634678749, 0.0323383550626836
0.5, 6.73764436250498, 2.23180652830803, 7.53850979027203, 7.94330833275616, 0.0153667303702002, 0.0221742721308309, 0.0323383550626836
0.516666666666667, 6.31251421309726, 2.08947267825341, 7.53850979027203, 7.94330833275616, 0.0124463137775147, 0.0190605761430351, 0.0323383550626836
0.533333333333333, 6.24728255988089, 2.06805865422884, 7.53850979027203, 7.94330833275616, 0.01230677354083, 0.0187688441378328, 0.0323383550626836
0.55, 6.23752897443321, 2.064835048145, 7.53850979027203, 7.94330833275616, 0.0122620495465699, 0.0187047024163695, 0.0323383550626836
0.566666666666667, 6.27536998299775, 2.07750747182755, 7.53850979027203, 7.94330833275616, 0.0124460904439099, 0.0189619297319156, 0.0323383550626836
0.583333333333333, 6.2321142703622, 2.0630169526277, 7.53850979027203, 7.94330833275616, 0.0122349787094243, 0.0186677080721132, 0.0323383550626836
0.6, 6.40999414889736, 2.12233486313767, 7.53850979027203, 7.94330833275616, 0.0126589537315742, 0.0195001983240475, 0.0323383550626836
0.616666666666667, 6.58302320215238, 2.18019697476484, 7.53850979027203, 7.94330833275616, 0.0134741541207647, 0.0206689992743889, 0.0323383550626836
