"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.0166666666666667, 3.04479015220222, 0.998187055340906, 3.04479015220222, 3.20423539528509, 3.00336741892949, 0.98726274006457, 3.00336741892949, 3.16147174129502, 0, 0, 0, 0, 0.00229110190785639, 0.000392702989446026, 0.00229110190785639, 0.000392702989446026, 0.00229110190785639, 0.000392702989446026, 0, 0, 0.00229110190785639, 0, 0.00229110190785639, 0, 0.0021864316940821, 0.000104670215501048, 0.00229110190785639, 0, 0, 0, 0, 0, 0.00229110190785639, 0, 0, 0, 0, 0, 0, 0.00229110190785639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00336741892949, 0, 0, 0, 0, 0, 0
0.0166666666666667, 0.0391878439750526, 0.0128452126734059, 0.0391878439750526, 0.0412393817126069, 0.0391952156847719, 0.0128840318810634, 0.0391952156847719, 0.0412584925813831, 0, 0, 0, 0, 1.1638835586578E-007, 8.77900740816382E-009, 1.1638835586578E-007, 8.77900740816382E-009, 1.1638835586578E-007, 8.77900740816382E-009, 0, 0, 1.1638835586578E-007, 0, 1.1638835586578E-007, 0, 7.64837767239348E-008, 3.9904579154195E-008, 1.1638835586578E-007, 0, 0, 0, 0, 0, 1.1638835586578E-007, 0, 0, 0, 0, 0, 0, 1.1638835586578E-007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0391952156847719, 0, 0, 0, 0, 0, 0
0.0333333333333333, 3.05241891289331, 1.00292427554585, 3.05241891289331, 3.21296098984535, 3.0109253258996, 0.989642971147346, 3.0109253258996, 3.16939497830184, 0, 0, 0, 0, 0.00231497916435788, 0.000396801518019488, 0.00231497916435788, 0.000396801518019488, 0.00231497916435788, 0.000396801518019488, 0, 0, 0.00231497916435788, 0, 0.00231497916435788, 0, 0.00220753797894088, 0.000107441187167356, 0.00231497916435788, 0, 0, 0, 0, 0, 0.00231497916435788, 0, 0, 0, 0, 0, 0, 0.00231497916435788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0109253258996, 0, 0, 0, 0, 0, 0
0.0333333333333333, 0.0391954085256836, 0.0128817961056374, 0.0391954085256836, 0.04125797765769, 0.039195156623455, 0.0128828615110316, 0.0391952156847719, 0.0412584925813831, 0, 0, 0, 0, 1.16492780342423E-007, 8.78688400720796E-009, 1.16492780342423E-007, 8.78688400720796E-009, 1.16492780342423E-007, 8.78688400720796E-009, 0, 0, 1.16492780342423E-007, 0, 1.16492780342423E-007, 0, 7.65523985016783E-008, 3.99403818382754E-008, 1.16492780342423E-007, 0, 0, 0, 0, 0, 1.16492780342423E-007, 0, 0, 0, 0, 0, 0, 1.16492780342423E-007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.039195156623455, 0, 0, 0, 0, 0, 0
0.05, 3.23598266235265, 1.06341456710331, 3.23598266235265, 3.40623462676523, 3.19428539901894, 1.04990004232574, 3.19428539901894, 3.36240231222576, 0, 0, 0, 0, 0.00261017180130535, 0.00044631661643799, 0.00261017180130535, 0.00044631661643799, 0.00261017180130535, 0.00044631661643799, 0, 0, 0.00261017180130535, 0, 0.00261017180130535, 0, 0.00248153152770913, 0.000128640275525115, 0.00261017180130535, 0, 0, 0, 0, 0, 0.00261017180130535, 0, 0, 0, 0, 0, 0, 0.00261017180130535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19428539901894, 0, 0, 0, 0, 0, 0
0.05, 0.0391888406336242, 0.0128870654007134, 0.0391954085256836, 0.04125797765769, 0.0391907876381065, 0.0128811747590771, 0.0391952156847719, 0.0412584925813831, 0, 0, 0, 0, 1.16480037893663E-007, 8.78592285942467E-009, 1.16492780342423E-007, 8.78688400720796E-009, 1.16480037893663E-007, 8.78592285942467E-009, 0, 0, 1.16492780342423E-007, 0, 1.16480037893663E-007, 0, 7.65440248983471E-008, 3.99360129942766E-008, 1.16480037893663E-007, 0, 0, 0, 0, 0, 1.16480037893663E-007, 0, 0, 0, 0, 0, 0, 1.16480037893663E-007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0391907876381065, 0, 0, 0, 0, 0, 0
0.0666666666666667, 3.65197251429359, 1.20029221445249, 3.65197251429359, 3.84416501274738, 3.60973606935467, 1.18643456512555, 3.60973606935467, 3.79971334020407, 0, 0, 0, 0, 0.00325031334115891, 0.000544503769588083, 0.00325031334115891, 0.000544503769588083, 0.00325031334115891, 0.000544503769588083, 0, 0, 0.00325031334115891, 0, 0.00325031334115891, 0, 0.00304684902201753, 0.00020346432144456, 0.00325031334115891, 0, 0, 0, 0, 0, 0.00325031334115891, 0, 0, 0, 0, 0, 0, 0.00325031334115891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60973606935467, 0, 0, 0, 0, 0, 0
0.0666666666666667, 0.0391741912207237, 0.0128908149257265, 0.0391954085256836, 0.04125797765769, 0.0391771930036034, 0.0128764173202729, 0.0391952156847719, 0.0412584925813831, 0, 0, 0, 0, 1.16448578499786E-007, 8.7835499245943E-009, 1.16492780342423E-007, 8.78688400720796E-009, 1.16448578499786E-007, 8.7835499245943E-009, 0, 0, 1.16492780342423E-007, 0, 1.16448578499786E-007, 0, 7.65233515791395E-008, 3.99252269084263E-008, 1.16448578499786E-007, 0, 0, 0, 0, 0, 1.16448578499786E-007, 0, 0, 0, 0, 0, 0, 1.16448578499786E-007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0391771930036034, 0, 0, 0, 0, 0, 0
0.0833333333333333, 4.08838344469482, 1.34351881523262, 4.08838344469482, 4.30347789557919, 4.04519456893728, 1.32955937550078, 4.04519456893728, 4.25808962253517, 0, 0, 0, 0, 0.00418660854431326, 0.000704078932075834, 0.00418660854431326, 0.000704078932075834, 0.00418660854431326, 0.000704078932075834, 0, 0, 0.00418660854431326, 0, 0.00418660854431326, 0, 0.00392204227526649, 0.00026456627229974, 0.00418660854431326, 0, 0, 0, 0, 0, 0.00418660854431326, 0, 0, 0, 0, 0, 0, 0.00418660854431326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04519456893728, 0, 0, 0, 0, 0, 0
0.0833333333333333, 0.0391756794345667, 0.0128834699406623, 0.0391954085256836, 0.04125797765769, 0.0391738671415011, 0.0128755886055364, 0.0391952156847719, 0.0412584925813831, 0, 0, 0, 0, 1.16453018956724E-007, 8.78388485879567E-009, 1.16492780342423E-007, 8.78688400720796E-009, 1.16453018956724E-007, 8.78388485879567E-009, 0, 0, 1.16492780342423E-007, 0, 1.16453018956724E-007, 0, 7.6526269602026E-008, 3.99267493598464E-008, 1.16453018956724E-007, 0, 0, 0, 0, 0, 1.16453018956724E-007, 0, 0, 0, 0, 0, 0, 1.16453018956724E-007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0391738671415011, 0, 0, 0, 0, 0, 0
