Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.0166666666666667, 3.08397799617727, 1.01103226801431, 3.08397799617727, 3.24547477699769, 3.04256263461426, 1.00014677194563, 3.04256263461426, 3.2027302338764, 0, 0, 0, 0, 0.00229121829621226, 0.000392711768453435, 0.00229121829621226, 0.000392711768453435, 0.00229121829621226, 0.000392711768453435, 0, 0, 0.00229121829621226, 0, 0.00229121829621226, 0, 0.00218650817785882, 0.000104710120080202, 0.00229121829621226, 0, 0, 0, 0, 0, 0.00229121829621226, 0, 0, 0, 0, 0, 0, 0.00229121829621226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04256263461426, 0, 0, 0, 0, 0, 0
0.0333333333333333, 3.091614321419, 1.01580607165149, 3.091614321419, 3.25421896750303, 3.05012048252305, 1.00252583265838, 3.05012054158437, 3.21065347088323, 0, 0, 0, 0, 0.00231509565713822, 0.000396810304903495, 0.00231509565713822, 0.000396810304903495, 0.00231509565713822, 0.000396810304903495, 0, 0, 0.00231509565713822, 0, 0.00231509565713822, 0, 0.00220761453133938, 0.000107481127549195, 0.00231509565713822, 0, 0, 0, 0, 0, 0.00231509565713822, 0, 0, 0, 0, 0, 0, 0.00231509565713822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05012048252305, 0, 0, 0, 0, 0, 0
0.05, 3.27517150298628, 1.07630163250403, 3.27517807087834, 3.44749260442292, 3.23347618665704, 1.06278121708482, 3.23348061470371, 3.40366080480715, 0, 0, 0, 0, 0.00261028828134325, 0.00044632540236085, 0.0026102882940857, 0.000446325403321997, 0.00261028828134325, 0.00044632540236085, 0, 0, 0.0026102882940857, 0, 0.00261028828134325, 0, 0.00248160807173403, 0.000128680211538109, 0.00261028828134325, 0, 0, 0, 0, 0, 0.00261028828134325, 0, 0, 0, 0, 0, 0, 0.00261028828134325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23347618665704, 0, 0, 0, 0, 0, 0
0.0666666666666667, 3.69114670551431, 1.21318302937822, 3.69116792281927, 3.88542299040507, 3.64891326235827, 1.19931098244583, 3.64893128503944, 3.84097183278545, 0, 0, 0, 0, 0.00325042978973741, 0.000544512553138008, 0.00325042983393926, 0.00054451255647209, 0.00325042978973741, 0.000544512553138008, 0, 0, 0.00325042983393926, 0, 0.00325042978973741, 0, 0.00304692554536911, 0.000203504246671469, 0.00325042978973741, 0, 0, 0, 0, 0, 0.00325042978973741, 0, 0, 0, 0, 0, 0, 0.00325042978973741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64891326235827, 0, 0, 0, 0, 0, 0
0.0833333333333333, 4.12755912412938, 1.35640228517329, 4.1275788532205, 4.34473587323688, 4.08436843607879, 1.34243496410632, 4.08438978462206, 4.29934811511655, 0, 0, 0, 0, 0.00418672499733222, 0.000704087715960693, 0.00418672503709361, 0.000704087718959841, 0.00418672499733222, 0.000704087715960693, 0, 0, 0.00418672503709361, 0, 0.00418672499733222, 0, 0.00392211880153609, 0.0002646061990491, 0.00418672499733222, 0, 0, 0, 0, 0, 0.00418672499733222, 0, 0, 0, 0, 0, 0, 0.00418672499733222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08436843607879, 0, 0, 0, 0, 0, 0
0.1, 4.23415947334753, 1.39101737236665, 4.23417120908705, 4.45681079170412, 4.19060868272403, 1.37738063422555, 4.1906251208745, 4.41118281383074, 0, 0, 0, 0, 0.00438339313239088, 0.000740830705784428, 0.0043833931644015, 0.000740830708198951, 0.00438339313239088, 0.000740830705784428, 0, 0, 0.0043833931644015, 0, 0.00438339313239088, 0, 0.00414977288479916, 0.000233620251354431, 0.00438339313239088, 0, 0, 0, 0, 0, 0.00438339313239088, 0, 0, 0, 0, 0, 0, 0.00438339313239088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19060868272403, 0, 0, 0, 0, 0, 0
0.116666666666667, 4.40991629215471, 1.44893136310919, 4.40994152029203, 4.64187315795312, 4.36612954264732, 1.43506413987528, 4.36615307895736, 4.59594692106605, 0, 0, 0, 0, 0.00470296547839244, 0.000789052613734988, 0.00470296554384763, 0.000789052618672181, 0.00470296547839244, 0.000789052613734988, 0, 0, 0.00470296554384763, 0, 0.00470296547839244, 0, 0.00442926693039205, 0.000273698551932235, 0.00470296547839244, 0, 0, 0, 0, 0, 0.00470296547839244, 0, 0, 0, 0, 0, 0, 0.00470296547839244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36612954264732, 0, 0, 0, 0, 0, 0
0.133333333333333, 4.63537385522031, 1.52299254323037, 4.63540707898138, 4.87919132794772, 4.59102282840676, 1.50897722398415, 4.59105276139116, 4.83268164692695, 0, 0, 0, 0, 0.00533380383883708, 0.000892621144743012, 0.0053338039296545, 0.00089262115159325, 0.00533380383883708, 0.000892621144743012, 0, 0, 0.0053338039296545, 0, 0.00533380383883708, 0, 0.00497234190800899, 0.000361461935091093, 0.00533380383883708, 0, 0, 0, 0, 0, 0.00533380383883708, 0, 0, 0, 0, 0, 0, 0.00533380383883708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59102282840676, 0, 0, 0, 0, 0, 0
0.15, 4.80017371793051, 1.57690828241591, 4.80020193852473, 5.05258317943359, 4.75514760784344, 1.56292669980833, 4.75517758586464, 5.00544588455587, 0, 0, 0, 0, 0.0058865728506761, 0.00097468873784329, 0.00588657292359935, 0.000974688743343787, 0.0058865728506761, 0.00097468873784329, 0, 0, 0.00588657292359935, 0, 0.0058865728506761, 0, 0.00539654739565235, 0.000490025459852674, 0.0058865728506761, 0, 0, 0, 0, 0, 0.0058865728506761, 0, 0, 0, 0, 0, 0, 0.0058865728506761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75514760784344, 0, 0, 0, 0, 0, 0
0.166666666666667, 7.24707635029655, 2.37649174337599, 7.24726487422623, 7.62698008114228, 7.17848534751347, 2.35943592239518, 7.17867177186413, 7.55649137435215, 0, 0, 0, 0, 0.0295952357557032, 0.0040919670734629, 0.0295952363108501, 0.00409196711533684, 0.0295952357557032, 0.0040919670734629, 0, 0, 0.0295952363108501, 0, 0.0295952357557032, 0, 0.0187847468489599, 0.0108104889111615, 0.0295952357557032, 0, 0, 0, 0, 0, 0.0295952357557032, 0, 0, 0, 0, 0, 0, 0.0295952357557032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17848534751347, 0, 0, 0, 0, 0, 0
